domain,instance,configuration,time,choices,conflicts,restarts,constraints,variables,sat,iteration
beam-walk,p03,asp-6,1.97,17101,9863,49,226993,64472,0,26
beam-walk,p03,asp-6,0.0,0,1,0,0,265,0,2
beam-walk,p03,asp-6,1.47,11854,6801,32,193567,57092,0,24
beam-walk,p03,asp-6,8.31,57807,36707,133,304694,80994,0,30
beam-walk,p03,asp-6,0.09,4165,1210,7,97800,23939,0,18
beam-walk,p03,asp-6,0.1,4600,1203,9,109883,26663,0,19
beam-walk,p03,asp-6,7.35,57960,34074,125,326444,85484,1,31
beam-walk,p03,asp-6,1.99,13022,7170,36,209881,60718,0,25
beam-walk,p03,asp-6,0.0,0,1,0,6,773,0,3
beam-walk,p03,asp-6,0.0,178,57,0,13265,3677,0,7
beam-walk,p03,asp-6,0.25,3636,1860,13,149720,47097,0,21
beam-walk,p03,asp-6,0.2,3527,1701,12,136740,44049,0,20
beam-walk,p03,asp-6,0.0,136,34,0,9586,2717,0,6
beam-walk,p03,asp-6,0.0,56,8,0,3893,1238,0,4
beam-walk,p03,asp-6,0.4,5566,3145,15,163474,50276,0,22
beam-walk,p03,asp-6,0.7,9987,4811,29,178130,53629,0,23
beam-walk,p03,asp-6,0.0,84,18,0,6512,1904,0,5
beam-walk,p03,asp-6,0.01,281,102,1,17560,4784,0,8
beam-walk,p03,asp-6,0.02,909,306,2,41220,10682,0,12
beam-walk,p03,asp-6,0.02,684,189,2,48830,12524,0,13
beam-walk,p03,asp-6,0.01,387,167,2,22488,6038,0,9
beam-walk,p03,asp-6,0.02,723,271,2,34303,8987,0,11
beam-walk,p03,asp-6,0.01,247,73,1,28064,7439,0,10
beam-walk,p03,asp-6,4.32,34374,20151,87,264015,72437,0,28
beam-walk,p03,asp-6,0.03,1065,301,3,57148,14513,0,14
beam-walk,p03,asp-6,0.05,1572,508,5,66189,16649,0,15
beam-walk,p03,asp-6,5.68,40914,25336,108,283924,76666,0,29
beam-walk,p03,asp-6,0.1,4444,1191,9,86500,21362,0,17
beam-walk,p03,asp-6,0.08,4437,1032,9,75968,18932,0,16
beam-walk,p01,asp-3,0.0,0,1,0,0,24,0,1
beam-walk,p01,asp-3,0.0,0,1,0,10,99,0,2
beam-walk,p01,asp-3,0.0,0,1,0,128,247,0,3
beam-walk,p01,asp-3,0.0,70,33,0,2489,1113,0,7
beam-walk,p01,asp-3,0.0,71,32,0,1802,838,0,6
beam-walk,p01,asp-3,0.0,17,9,0,764,405,0,4
beam-walk,p01,asp-3,0.0,37,22,0,1228,602,0,5
beam-walk,p01,asp-4,0.0,0,1,0,0,31,0,1
beam-walk,p01,asp-4,0.0,0,1,0,6,77,0,2
beam-walk,p01,asp-4,0.0,0,1,0,17,175,0,3
beam-walk,p01,asp-4,0.0,54,23,0,2477,829,0,7
beam-walk,p01,asp-4,0.0,44,23,0,1777,619,0,6
beam-walk,p01,asp-4,0.0,22,11,0,731,292,0,4
beam-walk,p01,asp-4,0.0,33,14,0,1196,440,0,5
beam-walk,p01,asp-5,0.0,0,1,0,0,23,0,1
beam-walk,p01,asp-5,0.0,0,1,0,0,81,0,2
beam-walk,p01,asp-5,0.0,0,1,0,17,207,0,3
beam-walk,p01,asp-5,0.0,68,16,0,2818,989,0,7
beam-walk,p01,asp-5,0.0,54,30,0,2020,738,0,6
beam-walk,p01,asp-5,0.0,24,8,0,800,347,0,4
beam-walk,p01,asp-5,0.0,38,11,0,1358,524,0,5
beam-walk,p01,asp-2,0.0,0,1,0,0,31,0,1
beam-walk,p01,asp-2,0.0,0,1,0,2,76,0,2
beam-walk,p01,asp-2,0.0,0,1,0,17,168,0,3
beam-walk,p01,asp-2,0.0,51,29,0,2241,782,0,7
beam-walk,p01,asp-2,0.0,86,22,0,1614,585,0,6
beam-walk,p01,asp-2,0.0,14,6,0,673,278,0,4
beam-walk,p01,asp-2,0.0,82,30,0,1093,417,0,5
beam-walk,p01,asp-1,0.0,0,1,0,0,24,0,1
beam-walk,p01,asp-1,0.0,0,1,0,10,98,0,2
beam-walk,p01,asp-1,0.0,0,1,0,126,239,0,3
beam-walk,p01,asp-1,0.0,58,16,0,2254,1065,0,7
beam-walk,p01,asp-1,0.0,33,16,0,1640,803,0,6
beam-walk,p01,asp-1,0.0,20,8,0,707,390,0,4
beam-walk,p01,asp-1,0.0,31,16,0,1126,578,0,5
beam-walk,p01,asp-6,0.0,0,1,0,0,23,0,1
beam-walk,p01,asp-6,0.0,0,1,0,0,82,0,2
beam-walk,p01,asp-6,0.0,0,1,0,17,215,0,3
beam-walk,p01,asp-6,0.0,61,21,0,3053,1037,0,7
beam-walk,p01,asp-6,0.0,47,23,0,2182,773,0,6
beam-walk,p01,asp-6,0.0,21,9,0,857,362,0,4
beam-walk,p01,asp-6,0.0,37,17,0,1460,548,0,5
blocksworld-ipc08,p03,asp-3,0.0,0,1,0,0,503,0,1
blocksworld-ipc08,p03,asp-3,0.0,0,1,0,455,2241,0,2
blocksworld-ipc08,p03,asp-3,0.0,17,8,0,16399,6535,0,3
blocksworld-ipc08,p03,asp-3,0.08,706,348,3,96630,30037,0,7
blocksworld-ipc08,p03,asp-3,0.04,389,185,2,70572,22516,0,6
blocksworld-ipc08,p03,asp-3,0.01,104,37,0,30754,10765,0,4
blocksworld-ipc08,p03,asp-3,0.01,97,46,0,48661,16092,0,5
blocksworld-ipc08,p03,asp-3,0.34,2285,1207,10,126980,38655,0,8
blocksworld-ipc08,p03,asp-3,0.16,1256,513,4,161767,48370,1,9
blocksworld-ipc08,p03,asp-4,0.0,0,1,0,0,858,0,1
blocksworld-ipc08,p03,asp-4,0.0,8,5,0,1215,1799,0,2
blocksworld-ipc08,p03,asp-4,0.01,92,51,0,47422,4515,0,3
blocksworld-ipc08,p03,asp-4,1.13,4329,2242,14,555324,23725,0,7
blocksworld-ipc08,p03,asp-4,0.55,2237,1168,9,376452,17418,0,6
blocksworld-ipc08,p03,asp-4,0.05,320,139,2,122644,7813,0,4
blocksworld-ipc08,p03,asp-4,0.23,1286,671,6,232273,12114,0,5
blocksworld-ipc08,p03,asp-4,2.6,7463,4554,29,769034,31035,0,8
blocksworld-ipc08,p03,asp-4,1.49,61889,2697,14,1017727,39348,1,9
blocksworld-ipc08,p03,asp-5,0.0,0,1,0,0,865,0,1
blocksworld-ipc08,p03,asp-5,0.0,0,1,0,12,1942,0,2
blocksworld-ipc08,p03,asp-5,0.0,11,8,0,48940,5770,0,3
blocksworld-ipc08,p03,asp-5,0.65,1164,593,5,590411,28232,0,7
blocksworld-ipc08,p03,asp-5,0.25,322,175,2,401915,20974,0,6
blocksworld-ipc08,p03,asp-5,0.02,43,29,0,132013,9743,0,4
blocksworld-ipc08,p03,asp-5,0.1,129,83,1,249623,14811,0,5
blocksworld-ipc08,p03,asp-5,1.11,1771,895,6,815256,36585,0,8
blocksworld-ipc08,p03,asp-5,0.46,947,383,2,1076595,46033,1,9
blocksworld-ipc08,p03,asp-2,0.0,0,1,0,0,858,0,1
blocksworld-ipc08,p03,asp-2,0.0,8,5,0,1215,1798,0,2
blocksworld-ipc08,p03,asp-2,0.01,72,49,0,47398,4508,0,3
blocksworld-ipc08,p03,asp-2,1.46,4307,2277,14,555088,23678,0,7
blocksworld-ipc08,p03,asp-2,0.59,2024,1135,9,376289,17384,0,6
blocksworld-ipc08,p03,asp-2,0.06,358,206,2,122586,7799,0,4
blocksworld-ipc08,p03,asp-2,0.15,871,447,5,232170,12091,0,5
blocksworld-ipc08,p03,asp-2,2.61,8264,4605,28,768712,30973,0,8
blocksworld-ipc08,p03,asp-2,2.52,8914,3876,21,1017306,39269,1,9
blocksworld-ipc08,p03,asp-1,0.0,0,1,0,0,503,0,1
blocksworld-ipc08,p03,asp-1,0.0,0,1,0,455,2240,0,2
blocksworld-ipc08,p03,asp-1,0.0,22,10,0,16374,6527,0,3
blocksworld-ipc08,p03,asp-1,0.07,603,328,3,96395,29989,0,7
blocksworld-ipc08,p03,asp-1,0.04,347,168,2,70410,22481,0,6
blocksworld-ipc08,p03,asp-1,0.0,70,39,0,30697,10750,0,4
blocksworld-ipc08,p03,asp-1,0.01,170,86,1,48559,16068,0,5
blocksworld-ipc08,p03,asp-1,0.31,2203,1025,8,126659,38592,0,8
blocksworld-ipc08,p03,asp-1,0.18,1182,559,5,161347,48290,1,9
blocksworld-ipc08,p03,asp-6,0.0,0,1,0,0,865,0,1
blocksworld-ipc08,p03,asp-6,0.0,0,1,0,12,1943,0,2
blocksworld-ipc08,p03,asp-6,0.0,12,6,0,48965,5778,0,3
blocksworld-ipc08,p03,asp-6,0.62,1041,576,5,590646,28280,0,7
blocksworld-ipc08,p03,asp-6,0.27,244,149,2,402077,21009,0,6
blocksworld-ipc08,p03,asp-6,0.03,50,31,0,132070,9758,0,4
blocksworld-ipc08,p03,asp-6,0.1,167,78,1,249725,14835,0,5
blocksworld-ipc08,p03,asp-6,0.99,1659,910,7,815577,36648,0,8
blocksworld-ipc08,p03,asp-6,1.89,3581,1956,14,1077015,46113,1,9
blocksworld-ipc08,p01,asp-3,0.0,0,1,0,0,503,0,1
blocksworld-ipc08,p01,asp-3,0.0,1,2,0,304,2334,0,2
blocksworld-ipc08,p01,asp-3,0.0,23,9,0,16399,6535,0,3
blocksworld-ipc08,p01,asp-3,0.2,1298,762,6,96630,30037,0,7
blocksworld-ipc08,p01,asp-3,0.12,539,309,2,70572,22516,0,6
blocksworld-ipc08,p01,asp-3,0.01,102,52,0,30754,10765,0,4
blocksworld-ipc08,p01,asp-3,0.02,139,84,1,48661,16092,0,5
blocksworld-ipc08,p01,asp-3,0.26,1703,889,6,126980,38655,1,8
blocksworld-ipc08,p01,asp-4,0.0,0,1,0,0,858,0,1
blocksworld-ipc08,p01,asp-4,0.0,9,8,0,1175,1772,0,2
blocksworld-ipc08,p01,asp-4,0.01,105,66,1,47422,4515,0,3
blocksworld-ipc08,p01,asp-4,1.08,3659,2109,14,555324,23725,0,7
blocksworld-ipc08,p01,asp-4,0.46,1475,869,6,376452,17418,0,6
blocksworld-ipc08,p01,asp-4,0.06,337,129,2,122644,7813,0,4
blocksworld-ipc08,p01,asp-4,0.17,807,444,5,232273,12114,0,5
blocksworld-ipc08,p01,asp-4,0.86,3024,1320,10,769034,31035,1,8
blocksworld-ipc08,p01,asp-5,0.0,0,1,0,0,864,0,1
blocksworld-ipc08,p01,asp-5,0.0,0,1,0,12,1915,0,2
blocksworld-ipc08,p01,asp-5,0.01,22,14,0,48805,5770,0,3
blocksworld-ipc08,p01,asp-5,0.84,1269,761,6,590411,28232,0,7
blocksworld-ipc08,p01,asp-5,0.29,519,315,4,401915,20974,0,6
blocksworld-ipc08,p01,asp-5,0.03,138,57,0,132013,9743,0,4
blocksworld-ipc08,p01,asp-5,0.1,179,113,1,249623,14811,0,5
